,index,archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema,Unnamed: 0,financial_share,fin_pos_share_count,fin_neg_share_count,fin_neu_share_count,fin_pos_share,fin_neg_share,fin_neu_share
51,326,02.03.2026,50.24,51.78,50.02,51.67,83204518.0,XLE,0.848,0.8488,0.8453,0.846,76.0645,134.4471,134.6758,8.0,0.2098765432098765,0.3647058823529411,0.4470588235294118,0.188235294117647,0.3474233300892776,0.4796446991219881,0.1729319707887342
52,325,02.03.2026,37.61,38.92,37.54,38.82,9931413.0,BP,0.848,0.8488,0.8453,0.846,76.0645,134.4471,134.6758,8.0,0.2098765432098765,0.3647058823529411,0.4470588235294118,0.188235294117647,0.3474233300892776,0.4796446991219881,0.1729319707887342
53,324,02.03.2026,75.46,77.845,75.27,77.63,8230596.0,SHEL,0.848,0.8488,0.8453,0.846,76.0645,134.4471,134.6758,8.0,0.2098765432098765,0.3647058823529411,0.4470588235294118,0.188235294117647,0.3474233300892776,0.4796446991219881,0.1729319707887342
54,335,02.04.2026,144.115,147.84,144.115,147.59,29426241.0,XOM,0.846,0.8481,0.8447,0.8469,79.3029,135.6807,136.2634,9.0,0.1848101265822785,0.4794520547945205,0.3835616438356164,0.136986301369863,0.4779206729364447,0.4017930884363365,0.1202862386272188
55,334,02.04.2026,76.52,79.37,76.2,77.88,17514908.0,USO,0.846,0.8481,0.8447,0.8469,79.3029,135.6807,136.2634,9.0,0.1848101265822785,0.4794520547945205,0.3835616438356164,0.136986301369863,0.4779206729364447,0.4017930884363365,0.1202862386272188
56,333,02.04.2026,39.22,39.51,38.895,39.2,11183344.0,BP,0.846,0.8481,0.8447,0.8469,79.3029,135.6807,136.2634,9.0,0.1848101265822785,0.4794520547945205,0.3835616438356164,0.136986301369863,0.4779206729364447,0.4017930884363365,0.1202862386272188
57,332,02.04.2026,178.88,182.59,178.88,181.23,16170478.0,CVX,0.846,0.8481,0.8447,0.8469,79.3029,135.6807,136.2634,9.0,0.1848101265822785,0.4794520547945205,0.3835616438356164,0.136986301369863,0.4779206729364447,0.4017930884363365,0.1202862386272188
58,331,02.04.2026,78.31,79.3,78.14,78.79,9608473.0,SHEL,0.846,0.8481,0.8447,0.8469,79.3029,135.6807,136.2634,9.0,0.1848101265822785,0.4794520547945205,0.3835616438356164,0.136986301369863,0.4779206729364447,0.4017930884363365,0.1202862386272188
59,330,02.04.2026,51.82,52.9599,51.82,52.83,78149891.0,XLE,0.846,0.8481,0.8447,0.8469,79.3029,135.6807,136.2634,9.0,0.1848101265822785,0.4794520547945205,0.3835616438356164,0.136986301369863,0.4779206729364447,0.4017930884363365,0.1202862386272188
60,336,02.05.2026,52.26,52.49,51.435,52.21,54235648.0,XLE,0.8468,0.8492,0.8458,0.849,75.0265,136.8832,137.4394,,,,,,,,
61,337,02.05.2026,146.58,146.73,143.795,146.08,18431739.0,XOM,0.8468,0.8492,0.8458,0.849,75.0265,136.8832,137.4394,,,,,,,,
62,339,02.05.2026,76.29,76.6,74.47,74.63,11393484.0,SHEL,0.8468,0.8492,0.8458,0.849,75.0265,136.8832,137.4394,,,,,,,,
63,340,02.05.2026,76.86,77.305,75.88,76.69,5989532.0,USO,0.8468,0.8492,0.8458,0.849,75.0265,136.8832,137.4394,,,,,,,,
64,338,02.05.2026,179.64,180.46,177.41,179.23,10474142.0,CVX,0.8468,0.8492,0.8458,0.849,75.0265,136.8832,137.4394,,,,,,,,
65,341,02.05.2026,38.255,38.55,37.97,38.17,10755670.0,BP,0.8468,0.8492,0.8458,0.849,75.0265,136.8832,137.4394,,,,,,,,
66,347,02.06.2026,52.5,53.415,52.36,53.25,41669571.0,XLE,0.849,0.8499,0.8455,0.8462,77.5866,138.2424,138.8519,,,,,,,,
67,346,02.06.2026,76.24,77.99,76.17,76.99,6661472.0,USO,0.849,0.8499,0.8455,0.8462,77.5866,138.2424,138.8519,,,,,,,,
68,345,02.06.2026,146.62,149.57,146.09,149.05,17216025.0,XOM,0.849,0.8499,0.8455,0.8462,77.5866,138.2424,138.8519,,,,,,,,
69,344,02.06.2026,75.18,76.22,75.02,75.29,8878730.0,SHEL,0.849,0.8499,0.8455,0.8462,77.5866,138.2424,138.8519,,,,,,,,
70,343,02.06.2026,180.3,182.1,179.512,180.86,9901816.0,CVX,0.849,0.8499,0.8455,0.8462,77.5866,138.2424,138.8519,,,,,,,,
71,342,02.06.2026,38.33,39.19,38.29,39.01,6063846.0,BP,0.849,0.8499,0.8455,0.8462,77.5866,138.2424,138.8519,,,,,,,,
72,352,02.09.2026,53.205,53.72,52.975,53.64,38798501.0,XLE,0.8462,0.8467,0.8384,0.8392,79.2524,139.7145,140.3621,,,,,,,,
73,349,02.09.2026,149.26,151.55,148.63,151.21,21297302.0,XOM,0.8462,0.8467,0.8384,0.8392,79.2524,139.7145,140.3621,,,,,,,,
74,348,02.09.2026,38.905,39.355,38.87,39.22,7208426.0,BP,0.8462,0.8467,0.8384,0.8392,79.2524,139.7145,140.3621,,,,,,,,
75,350,02.09.2026,76.83,78.63,76.79,78.02,3201128.0,USO,0.8462,0.8467,0.8384,0.8392,79.2524,139.7145,140.3621,,,,,,,,
76,351,02.09.2026,181.01,182.82,179.95,182.6,12021285.0,CVX,0.8462,0.8467,0.8384,0.8392,79.2524,139.7145,140.3621,,,,,,,,
77,353,02.09.2026,76.43,77.85,76.33,77.8,5594282.0,SHEL,0.8462,0.8467,0.8384,0.8392,79.2524,139.7145,140.3621,,,,,,,,
78,355,02.10.2026,182.73,182.95,180.86,182.26,7458163.0,CVX,0.8393,0.8412,0.8382,0.8406,79.5405,140.99,141.7212,,,,,,,,
79,356,02.10.2026,151.35,151.78,149.82,151.59,15800255.0,XOM,0.8393,0.8412,0.8382,0.8406,79.5405,140.99,141.7212,,,,,,,,
80,357,02.10.2026,53.77,53.79,53.24,53.58,32145991.0,XLE,0.8393,0.8412,0.8382,0.8406,79.5405,140.99,141.7212,,,,,,,,
81,358,02.10.2026,78.3,78.44,77.28,78.03,6541954.0,USO,0.8393,0.8412,0.8382,0.8406,79.5405,140.99,141.7212,,,,,,,,
82,359,02.10.2026,37.01,37.4,36.15,36.97,23286030.0,BP,0.8393,0.8412,0.8382,0.8406,79.5405,140.99,141.7212,,,,,,,,
83,354,02.10.2026,78.38,78.4,77.285,77.9,3925844.0,SHEL,0.8393,0.8412,0.8382,0.8406,79.5405,140.99,141.7212,,,,,,,,
84,364,02.11.2026,153.97,156.93,153.57,155.56,23091488.0,XOM,0.8405,0.845,0.8384,0.8422,82.3049,142.545,143.4249,,,,,,,,
85,365,02.11.2026,54.28,55.11,54.25,54.98,57349665.0,XLE,0.8405,0.845,0.8384,0.8422,82.3049,142.545,143.4249,,,,,,,,
86,363,02.11.2026,78.78,80.255,78.61,80.23,6948400.0,SHEL,0.8405,0.845,0.8384,0.8422,82.3049,142.545,143.4249,,,,,,,,
87,362,02.11.2026,37.94,38.82,37.74,38.55,13206912.0,BP,0.8405,0.845,0.8384,0.8422,82.3049,142.545,143.4249,,,,,,,,
88,361,02.11.2026,183.94,186.52,183.55,185.82,10502119.0,CVX,0.8405,0.845,0.8384,0.8422,82.3049,142.545,143.4249,,,,,,,,
89,360,02.11.2026,79.68,79.83,78.24,78.89,10313073.0,USO,0.8405,0.845,0.8384,0.8422,82.3049,142.545,143.4249,,,,,,,,
90,371,02.12.2026,153.89,155.25,149.88,149.93,30652471.0,XOM,0.8423,0.8437,0.8408,0.8423,70.4303,143.6794,144.2922,,,,,,,,
91,366,02.12.2026,79.47,79.6,77.63,78.22,7351119.0,SHEL,0.8423,0.8437,0.8408,0.8423,70.4303,143.6794,144.2922,,,,,,,,
92,367,02.12.2026,38.07,38.15,36.83,37.19,14268020.0,BP,0.8423,0.8437,0.8408,0.8423,70.4303,143.6794,144.2922,,,,,,,,
93,368,02.12.2026,54.94,55.24,53.76,53.98,67427841.0,XLE,0.8423,0.8437,0.8408,0.8423,70.4303,143.6794,144.2922,,,,,,,,
94,369,02.12.2026,78.0,78.07,75.71,76.38,7442609.0,USO,0.8423,0.8437,0.8408,0.8423,70.4303,143.6794,144.2922,,,,,,,,
95,370,02.12.2026,185.8,185.8,182.09,182.4,9673715.0,CVX,0.8423,0.8437,0.8408,0.8423,70.4303,143.6794,144.2922,,,,,,,,
96,436,03.02.2026,159.35,159.605,153.03,154.22,31493082.0,XOM,0.8471,0.8567,0.8471,0.8554,66.8062,150.2067,149.1682,13.0,0.2776735459662289,0.4662162162162162,0.3986486486486486,0.1351351351351351,0.4607039743752988,0.416452978420975,0.122843047203726
97,437,03.02.2026,39.395,39.51,38.84,39.47,15552346.0,BP,0.8471,0.8567,0.8471,0.8554,66.8062,150.2067,149.1682,13.0,0.2776735459662289,0.4662162162162162,0.3986486486486486,0.1351351351351351,0.4607039743752988,0.416452978420975,0.122843047203726
98,435,03.02.2026,190.33,191.44,187.22,189.6,15809121.0,CVX,0.8471,0.8567,0.8471,0.8554,66.8062,150.2067,149.1682,13.0,0.2776735459662289,0.4662162162162162,0.3986486486486486,0.1351351351351351,0.4607039743752988,0.416452978420975,0.122843047203726
99,432,03.02.2026,84.51,84.5499,83.31,84.22,9862765.0,SHEL,0.8471,0.8567,0.8471,0.8554,66.8062,150.2067,149.1682,13.0,0.2776735459662289,0.4662162162162162,0.3986486486486486,0.1351351351351351,0.4607039743752988,0.416452978420975,0.122843047203726
100,433,03.02.2026,57.77,57.88,56.27,57.04,135633331.0,XLE,0.8471,0.8567,0.8471,0.8554,66.8062,150.2067,149.1682,13.0,0.2776735459662289,0.4662162162162162,0.3986486486486486,0.1351351351351351,0.4607039743752988,0.416452978420975,0.122843047203726
101,434,03.02.2026,87.62,88.64,83.2,87.19,41780479.0,USO,0.8471,0.8567,0.8471,0.8554,66.8062,150.2067,149.1682,13.0,0.2776735459662289,0.4662162162162162,0.3986486486486486,0.1351351351351351,0.4607039743752988,0.416452978420975,0.122843047203726
102,442,03.03.2026,155.43,156.049,150.3,151.83,25198873.0,XOM,0.8554,0.8672,0.854,0.8609,61.595,150.2978,149.5231,14.0,0.2470308788598574,0.3173076923076923,0.5192307692307693,0.1634615384615384,0.2968656755950596,0.5611775360784108,0.1419567883265295
103,441,03.03.2026,39.03,39.56,38.575,38.86,14301503.0,BP,0.8554,0.8672,0.854,0.8609,61.595,150.2978,149.5231,14.0,0.2470308788598574,0.3173076923076923,0.5192307692307693,0.1634615384615384,0.2968656755950596,0.5611775360784108,0.1419567883265295
