archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema
2025-12-18,71.44,71.5599,71.015,71.31,5264853.0,SHEL,0.8516,0.8538,0.8501,0.853,49.6228,116.4862,116.329
2025-12-18,34.19,34.19,33.22,33.31,15228878.0,BP,0.8516,0.8538,0.8501,0.853,49.6228,116.4862,116.329
2025-12-19,116.75,117.57,115.955,116.69,45412814.0,XOM,0.853,0.8545,0.8519,0.8539,50.0822,116.4904,116.271
2025-12-19,71.85,72.485,71.84,72.02,5581282.0,SHEL,0.853,0.8545,0.8519,0.8539,50.0822,116.4904,116.271
2025-12-19,44.25,44.53,44.025,44.13,30946501.0,XLE,0.853,0.8545,0.8519,0.8539,50.0822,116.4904,116.271
2025-12-19,33.83,34.085,33.805,33.94,12735174.0,BP,0.853,0.8545,0.8519,0.8539,50.0822,116.4904,116.271
2025-12-19,147.96,149.01,147.185,147.75,21701435.0,CVX,0.853,0.8545,0.8519,0.8539,50.0822,116.4904,116.271
2025-12-19,67.74,68.2,67.435,68.03,4003656.0,USO,0.853,0.8545,0.8519,0.8539,50.0822,116.4904,116.271
2025-12-22,117.335,118.46,117.335,118.15,11768611.0,XOM,0.8532,0.8542,0.8496,0.8503,54.4378,116.6869,116.414
2025-12-22,44.14,44.485,44.09,44.21,23707420.0,XLE,0.8532,0.8542,0.8496,0.8503,54.4378,116.6869,116.414
2025-12-22,34.23,34.6,34.105,34.14,10095963.0,BP,0.8532,0.8542,0.8496,0.8503,54.4378,116.6869,116.414
2025-12-22,69.56,69.85,69.22,69.73,4491465.0,USO,0.8532,0.8542,0.8496,0.8503,54.4378,116.6869,116.414
2025-12-22,148.81,150.49,148.695,149.8,8143618.0,CVX,0.8532,0.8542,0.8496,0.8503,54.4378,116.6869,116.414
2025-12-22,72.72,73.15,72.58,72.58,3543242.0,SHEL,0.8532,0.8542,0.8496,0.8503,54.4378,116.6869,116.414
2025-12-23,118.47,120.03,118.32,119.42,12567630.0,XOM,0.8506,0.8506,0.8472,0.8478,57.8805,116.8019,116.7062
2025-12-23,34.51,34.64,34.445,34.58,6844205.0,BP,0.8506,0.8506,0.8472,0.8478,57.8805,116.8019,116.7062
2025-12-23,150.04,151.08,149.85,150.51,4663665.0,CVX,0.8506,0.8506,0.8472,0.8478,57.8805,116.8019,116.7062
2025-12-23,69.62,70.36,69.45,70.3,3517335.0,USO,0.8506,0.8506,0.8472,0.8478,57.8805,116.8019,116.7062
2025-12-23,72.8,73.12,72.74,73.07,2421211.0,SHEL,0.8506,0.8506,0.8472,0.8478,57.8805,116.8019,116.7062
