,rsi,sma,ema
2000-09-06,55.3919,18.418,18.3239
2000-09-07,58.4731,18.417,18.3608
2000-09-08,57.0583,18.4259,18.3854
2000-09-11,62.7971,18.4494,18.4506
2000-09-12,65.3887,18.491,18.5298
2000-09-13,65.5899,18.5117,18.6003
2000-09-14,62.0922,18.5487,18.6454
2000-09-15,73.854,18.6528,18.8097
2000-09-18,74.14,18.7611,18.9563
2000-09-19,65.1501,18.8481,19.0348
2000-09-20,58.199,18.9296,19.0584
2000-09-21,57.3641,19.0037,19.0732
2000-09-22,58.0128,19.0672,19.0917
2000-09-25,54.9786,19.1065,19.0887
2000-09-26,57.8359,19.1641,19.109
2000-09-27,65.7914,19.2513,19.2041
2000-09-28,65.2349,19.3408,19.2833
2000-09-29,65.0732,19.4063,19.351
2000-10-02,71.0699,19.4966,19.4787
2000-10-03,67.686,19.5759,19.5708
2000-10-04,60.0601,19.6391,19.6043
2000-10-05,59.7811,19.6341,19.6316
2000-10-06,60.6022,19.631,19.6627
2000-10-09,65.7004,19.6806,19.7397
2000-10-10,70.9267,19.7887,19.8709
2000-10-11,71.8588,19.9067,19.9977
2000-10-12,72.6735,20.0277,20.1189
2000-10-13,55.9953,20.1013,20.1164
2000-10-16,47.3273,20.1201,20.0345
2000-10-17,47.3273,20.0972,19.9636
2000-10-18,43.6831,20.0563,19.8651
2000-10-19,43.5099,20.0149,19.778
2000-10-20,50.3623,19.9673,19.7599
2000-10-23,52.3516,19.9395,19.7627
2000-10-24,45.0995,19.8999,19.6966
2000-10-25,46.6165,19.8681,19.6524
2000-10-26,48.5644,19.8413,19.6306
2000-10-27,47.9254,19.7847,19.6062
2000-10-30,54.3286,19.7233,19.6406
2000-10-31,53.3884,19.651,19.6631
2000-11-01,61.6029,19.6181,19.7676
2000-11-02,49.0501,19.5815,19.7435
2000-11-03,47.2033,19.5766,19.7022
2000-11-06,50.6541,19.5905,19.7016
2000-11-07,51.5427,19.6292,19.7103
2000-11-08,56.1756,19.6957,19.7679
2000-11-09,54.9372,19.7255,19.8069
2000-11-10,53.8266,19.7404,19.8311
2000-11-13,54.9902,19.798,19.8634
2000-11-14,54.7556,19.8477,19.8897
2000-11-15,56.4243,19.8964,19.9273
2000-11-16,57.4715,19.9531,19.9691
2000-11-17,55.7042,19.9739,19.994
2000-11-20,59.4825,20.0158,20.0475
2000-11-21,64.7745,20.04,20.1459
2000-11-22,67.6836,20.1434,20.2645
2000-11-24,68.164,20.2609,20.3729
2000-11-27,61.3889,20.3385,20.4279
2000-11-28,61.0397,20.4102,20.4735
2000-11-29,44.8663,20.3893,20.3904
2000-11-30,42.1239,20.3593,20.2904
2000-12-01,45.2305,20.3474,20.2279
2000-12-04,51.7096,20.3593,20.2296
2000-12-05,44.7108,20.3354,20.1624
2000-12-06,39.4135,20.2696,20.0407
2000-12-07,45.1621,20.2267,19.9874
2000-12-08,46.7177,20.1978,19.956
2000-12-11,39.9974,20.1081,19.847
2000-12-12,42.6158,20.0033,19.7766
2000-12-13,46.1465,19.8988,19.7492
2000-12-14,40.895,19.7562,19.6603
2000-12-15,37.983,19.6128,19.5425
2000-12-18,44.9199,19.5063,19.5074
2000-12-19,47.2092,19.4784,19.501
2000-12-20,42.5109,19.4336,19.436
2000-12-21,41.5317,19.3689,19.3666
2000-12-22,47.6158,19.307,19.3677
2000-12-26,52.1692,19.3099,19.4207
2000-12-27,50.0027,19.3338,19.4426
2000-12-28,47.7108,19.3159,19.4356
2000-12-29,47.8882,19.2911,19.4314
2001-01-02,54.0199,19.3449,19.4929
2001-01-03,44.1159,19.3241,19.4308
2001-01-04,39.368,19.2474,19.3064
2001-01-05,40.4456,19.2115,19.2096
2001-01-08,39.686,19.1916,19.1147
2001-01-09,37.8646,19.1218,19.0062
2001-01-10,35.851,19.0231,18.8825
2001-01-11,38.4929,18.9682,18.7976
2001-01-12,42.1209,18.9373,18.7555
2001-01-16,39.7394,18.8576,18.6893
2001-01-17,36.2922,18.7251,18.5855
2001-01-18,34.0111,18.5877,18.4622
2001-01-19,35.2247,18.4691,18.3646
2001-01-22,38.4118,18.3624,18.3041
2001-01-23,44.115,18.2457,18.2981
2001-01-24,43.6132,18.188,18.2875
2001-01-25,46.7653,18.182,18.3042
2001-01-26,42.3677,18.1461,18.2741
2001-01-29,40.1966,18.1034,18.2242
2001-01-30,46.7366,18.1031,18.2339
2001-01-31,53.4238,18.1533,18.3069
2001-02-01,51.3137,18.181,18.3505
2001-02-02,49.7117,18.1839,18.3734
2001-02-05,55.168,18.2316,18.4471
2001-02-06,53.577,18.2968,18.4973
2001-02-07,54.9754,18.3872,18.5545
2001-02-08,55.4178,18.4748,18.6083
2001-02-09,59.5738,18.5714,18.6955
2001-02-12,59.1373,18.6415,18.7682
2001-02-13,54.9324,18.6989,18.8021
2001-02-14,51.4402,18.7287,18.8058
2001-02-15,46.1828,18.7595,18.7663
2001-02-16,51.8196,18.8274,18.7774
2001-02-20,50.9872,18.8634,18.7805
2001-02-21,49.8888,18.8603,18.7748
2001-02-22,52.5988,18.8787,18.7905
2001-02-23,49.6249,18.8938,18.7829
2001-02-26,50.8884,18.8848,18.7853
2001-02-27,44.8333,18.8592,18.7425
2001-02-28,40.5077,18.8061,18.668
2001-03-01,42.1895,18.7564,18.6139
2001-03-02,50.0534,18.714,18.6211
2001-03-05,52.5131,18.6834,18.6466
2001-03-06,51.4473,18.6643,18.6611
2001-03-07,53.9056,18.6688,18.692
2001-03-08,59.799,18.7225,18.7678
